,event name,organiser,speciality,keyword,similarity,date present,description present,start year,start month,start date,end year,end month,end date,time present,start time,end time,description,fee type,fees,mode,venue,register url
23,Advanced Vestibular Rehabilitation,Tan Tock Seng Hospital,radiation oncology,advanced,0.3506094682534644,True,True,2023,7,1.0,2023,7,2.0,False,,,"Vestibular rehabilitation adopts an exercise-based approach in the management of dizziness and balance disorders associated with vestibular pathology. This advanced level course will include topics such as Persistent Postural-Perceptual Dizziness, advanced techniques in BPPV management, motion sickness, cervicogenic dizziness, vestibular migraine associated dizziness, and cervicogenic dizziness. The effects of ageing on the vestibular system, medical conditions and their relation to vestibular system function, concussion management and post-trauma vision syndrome will also be discussed. Supervised practical sessions will be included to allow participants to develop confidence in using new skills taught in the course. Interactive case studies discussion and role plays will also be included to help participants apply the knowledge learned.",Paid,750.0,Face-to-Face,Tan Tock Seng Hospital,
24,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,occupational medicine,occupational therapy,0.7285431640792256,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
25,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,public health,clients,0.5502585418719044,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
26,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,medical oncology,management,0.5379971519506102,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
27,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,rehabilitation medicine,assistive technology,0.46281810683056035,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
28,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,pathology,motor neuron disease,0.443025351425485,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
29,Occupational Therapy in Parkinson’s Disease Rehabilitation,Tan Tock Seng Hospital,occupational medicine,occupational therapy,0.7285431640792256,True,True,2023,7,28.0,2023,7,28.0,False,,,"This one-day workshop will provide Occupational Therapists with an overview of Parkinson's Disease (PD), evidence-based management of PD and therapeutic strategies in the area of PD rehabilitation.",Paid,710.0 (SAOT Member); 790.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
30,Occupational Therapy in Parkinson’s Disease Rehabilitation,Tan Tock Seng Hospital,rehabilitation medicine,disease rehabilitation,0.6612178280236358,True,True,2023,7,28.0,2023,7,28.0,False,,,"This one-day workshop will provide Occupational Therapists with an overview of Parkinson's Disease (PD), evidence-based management of PD and therapeutic strategies in the area of PD rehabilitation.",Paid,710.0 (SAOT Member); 790.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
31,Occupational Therapy in Parkinson’s Disease Rehabilitation,Tan Tock Seng Hospital,pathology,parkinson,0.3085351888966057,True,True,2023,7,28.0,2023,7,28.0,False,,,"This one-day workshop will provide Occupational Therapists with an overview of Parkinson's Disease (PD), evidence-based management of PD and therapeutic strategies in the area of PD rehabilitation.",Paid,710.0 (SAOT Member); 790.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
32,The Musculoskeletal Management Series: Assessing and Managing Upper Quadrant Disorders,Tan Tock Seng Hospital,public health,managing,0.47841343932847497,True,True,2023,8,1.0,2023,8,2.0,False,,,"With the ageing population, there is rising healthcare demands of population in Singapore, and healthcare needs of the musculoskeletal (MSK) care is getting more prominent. While some MSK symptoms are mild and may resolve with rest and analgesics, some individuals presenting with MSK conditions may turn to become chronic conditions, hence it is important to be able to address their symptoms accurately, and provide early and appropriate treatment with relevant education on their conditions via evidence-based practice. <br><br>The focus of this workshop is on upper quadrant (e.g. upper limbs and neck) conditions. This workshop aims to boost participants' confidence and equip them with updated knowledge and skills in assessing and managing patients with common upper quadrant disorders, including shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions. <br><br>Practical sessions with handling skills will be conducted together with various case scenarios and discussions. <br><br>At the end of the course, participants should be able to:<br>1) Assess and clinically reason through differential diagnoses for the upper quadrant conditions, e.g. shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions<br>2) Understand common surgical and non-surgical management<br>3) Be confident and effective in providing the appropriate manual techniques, exercise prescriptions as well as education and advice tailored to the patient's individual condition",Paid,800.0,Face-to-Face,Tan Tock Seng Hospital,
33,The Musculoskeletal Management Series: Assessing and Managing Upper Quadrant Disorders,Tan Tock Seng Hospital,respiratory medicine,musculoskeletal,0.47105758462885455,True,True,2023,8,1.0,2023,8,2.0,False,,,"With the ageing population, there is rising healthcare demands of population in Singapore, and healthcare needs of the musculoskeletal (MSK) care is getting more prominent. While some MSK symptoms are mild and may resolve with rest and analgesics, some individuals presenting with MSK conditions may turn to become chronic conditions, hence it is important to be able to address their symptoms accurately, and provide early and appropriate treatment with relevant education on their conditions via evidence-based practice. <br><br>The focus of this workshop is on upper quadrant (e.g. upper limbs and neck) conditions. This workshop aims to boost participants' confidence and equip them with updated knowledge and skills in assessing and managing patients with common upper quadrant disorders, including shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions. <br><br>Practical sessions with handling skills will be conducted together with various case scenarios and discussions. <br><br>At the end of the course, participants should be able to:<br>1) Assess and clinically reason through differential diagnoses for the upper quadrant conditions, e.g. shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions<br>2) Understand common surgical and non-surgical management<br>3) Be confident and effective in providing the appropriate manual techniques, exercise prescriptions as well as education and advice tailored to the patient's individual condition",Paid,800.0,Face-to-Face,Tan Tock Seng Hospital,
34,The Musculoskeletal Management Series: Assessing and Managing Upper Quadrant Disorders,Tan Tock Seng Hospital,diagnostic radiology,assessing,0.33839923305285335,True,True,2023,8,1.0,2023,8,2.0,False,,,"With the ageing population, there is rising healthcare demands of population in Singapore, and healthcare needs of the musculoskeletal (MSK) care is getting more prominent. While some MSK symptoms are mild and may resolve with rest and analgesics, some individuals presenting with MSK conditions may turn to become chronic conditions, hence it is important to be able to address their symptoms accurately, and provide early and appropriate treatment with relevant education on their conditions via evidence-based practice. <br><br>The focus of this workshop is on upper quadrant (e.g. upper limbs and neck) conditions. This workshop aims to boost participants' confidence and equip them with updated knowledge and skills in assessing and managing patients with common upper quadrant disorders, including shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions. <br><br>Practical sessions with handling skills will be conducted together with various case scenarios and discussions. <br><br>At the end of the course, participants should be able to:<br>1) Assess and clinically reason through differential diagnoses for the upper quadrant conditions, e.g. shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions<br>2) Understand common surgical and non-surgical management<br>3) Be confident and effective in providing the appropriate manual techniques, exercise prescriptions as well as education and advice tailored to the patient's individual condition",Paid,800.0,Face-to-Face,Tan Tock Seng Hospital,
35,The Musculoskeletal Management Series: Assessing and Managing Upper Quadrant Disorders,Tan Tock Seng Hospital,pathology,upper quadrant disorders,0.32875889964206456,True,True,2023,8,1.0,2023,8,2.0,False,,,"With the ageing population, there is rising healthcare demands of population in Singapore, and healthcare needs of the musculoskeletal (MSK) care is getting more prominent. While some MSK symptoms are mild and may resolve with rest and analgesics, some individuals presenting with MSK conditions may turn to become chronic conditions, hence it is important to be able to address their symptoms accurately, and provide early and appropriate treatment with relevant education on their conditions via evidence-based practice. <br><br>The focus of this workshop is on upper quadrant (e.g. upper limbs and neck) conditions. This workshop aims to boost participants' confidence and equip them with updated knowledge and skills in assessing and managing patients with common upper quadrant disorders, including shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions. <br><br>Practical sessions with handling skills will be conducted together with various case scenarios and discussions. <br><br>At the end of the course, participants should be able to:<br>1) Assess and clinically reason through differential diagnoses for the upper quadrant conditions, e.g. shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions<br>2) Understand common surgical and non-surgical management<br>3) Be confident and effective in providing the appropriate manual techniques, exercise prescriptions as well as education and advice tailored to the patient's individual condition",Paid,800.0,Face-to-Face,Tan Tock Seng Hospital,
36,Clinical Application of Occupational Therapy in Dementia and Delirium Care Management for Geriatrics,Tan Tock Seng Hospital,geriatric medicine,geriatrics,0.8266660001230854,True,True,2023,8,2.0,2023,8,2.0,False,,,"Dementia and delirium are amongst the most common causes of cognitive impairment in older adults. Older adults with dementia are at higher risk of experiencing delirium due to their underlying cognitive impairment. This is especially pertinent in the acute care setting, where patients with dementia are often admitted to unfamiliar environments with acute medical problems.  It is therefore crucial for healthcare professionals to equip themselves with the knowledge to provide holistic and patient centric care for patients with dementia and delirium and their caregivers in the acute setting.",Paid,515.0 (SAOT Member); 570.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
37,Clinical Application of Occupational Therapy in Dementia and Delirium Care Management for Geriatrics,Tan Tock Seng Hospital,occupational medicine,occupational therapy,0.7285431640792256,True,True,2023,8,2.0,2023,8,2.0,False,,,"Dementia and delirium are amongst the most common causes of cognitive impairment in older adults. Older adults with dementia are at higher risk of experiencing delirium due to their underlying cognitive impairment. This is especially pertinent in the acute care setting, where patients with dementia are often admitted to unfamiliar environments with acute medical problems.  It is therefore crucial for healthcare professionals to equip themselves with the knowledge to provide holistic and patient centric care for patients with dementia and delirium and their caregivers in the acute setting.",Paid,515.0 (SAOT Member); 570.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
38,Clinical Application of Occupational Therapy in Dementia and Delirium Care Management for Geriatrics,Tan Tock Seng Hospital,medical oncology,delirium care management,0.6588444182854991,True,True,2023,8,2.0,2023,8,2.0,False,,,"Dementia and delirium are amongst the most common causes of cognitive impairment in older adults. Older adults with dementia are at higher risk of experiencing delirium due to their underlying cognitive impairment. This is especially pertinent in the acute care setting, where patients with dementia are often admitted to unfamiliar environments with acute medical problems.  It is therefore crucial for healthcare professionals to equip themselves with the knowledge to provide holistic and patient centric care for patients with dementia and delirium and their caregivers in the acute setting.",Paid,515.0 (SAOT Member); 570.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
39,Clinical Application of Occupational Therapy in Dementia and Delirium Care Management for Geriatrics,Tan Tock Seng Hospital,medical oncology,clinical,0.4970643513130489,True,True,2023,8,2.0,2023,8,2.0,False,,,"Dementia and delirium are amongst the most common causes of cognitive impairment in older adults. Older adults with dementia are at higher risk of experiencing delirium due to their underlying cognitive impairment. This is especially pertinent in the acute care setting, where patients with dementia are often admitted to unfamiliar environments with acute medical problems.  It is therefore crucial for healthcare professionals to equip themselves with the knowledge to provide holistic and patient centric care for patients with dementia and delirium and their caregivers in the acute setting.",Paid,515.0 (SAOT Member); 570.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
40,Clinical Application of Occupational Therapy in Dementia and Delirium Care Management for Geriatrics,Tan Tock Seng Hospital,pathology,dementia,0.4465207107954925,True,True,2023,8,2.0,2023,8,2.0,False,,,"Dementia and delirium are amongst the most common causes of cognitive impairment in older adults. Older adults with dementia are at higher risk of experiencing delirium due to their underlying cognitive impairment. This is especially pertinent in the acute care setting, where patients with dementia are often admitted to unfamiliar environments with acute medical problems.  It is therefore crucial for healthcare professionals to equip themselves with the knowledge to provide holistic and patient centric care for patients with dementia and delirium and their caregivers in the acute setting.",Paid,515.0 (SAOT Member); 570.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
41,Hip Fractures Rehabilitation and Management,Tan Tock Seng Hospital,rehabilitation medicine,rehabilitation,0.828292692251276,True,True,2023,8,18.0,2023,8,18.0,True,8:00am,5:00pm,"Hip fractures contribute to 1.75 million disability-adjusted life years (DALYs) lost on a worldwide scale (International Osteoporosis Foundation and National Osteoporosis Foundation 2004). The DALYs lost to falls in a Singapore disease burden study (2010) is reported to be 4674 (per 100,000). While the rate of hip fractures in Singapore had shown some decline in both men and women (-1.1 fractures/100,000/year & -4.3 fractures/100,000/year respectively) over a period of 18 years  from 2000-2017, the absolute numbers of admissions had increased nonetheless (Osteoporosis International, 2019). As the older adults possess a greater awareness of the risks of falls and fractures, they are willing to take up more preventive measures including lifestyle management and pharmacological treatment for osteoporosis (SG MOH CPG Osteoporosis and update 2008). We need to continue to engage them in active lifestyle post-hip fractures to strengthen, improve their balance and re-integrate them back to the community effectively. <br><br>This workshop aims to equip physiotherapists with the necessary knowledge and skills in rehabilitating older adults post hip fractures based on recent research updates and recommendations. <br><br>At the end of the course, participants should be able to:
<br>1) describe the impact and disability associated with hip fractures<br>2) understand the surgical management for older adults with hip fractures and its implications during rehabilitation<br>3) identify and select appropriate outcome measures to evaluate physical function and rehabilitation needs (as per MOH One-Rehab framework)<br>4) select evidence-based exercise interventions for older adults post-hip fractures",Paid,550.0,Face-to-Face,Tan Tock Seng Hospital,
42,Hip Fractures Rehabilitation and Management,Tan Tock Seng Hospital,medical oncology,management,0.5379971519506102,True,True,2023,8,18.0,2023,8,18.0,True,8:00am,5:00pm,"Hip fractures contribute to 1.75 million disability-adjusted life years (DALYs) lost on a worldwide scale (International Osteoporosis Foundation and National Osteoporosis Foundation 2004). The DALYs lost to falls in a Singapore disease burden study (2010) is reported to be 4674 (per 100,000). While the rate of hip fractures in Singapore had shown some decline in both men and women (-1.1 fractures/100,000/year & -4.3 fractures/100,000/year respectively) over a period of 18 years  from 2000-2017, the absolute numbers of admissions had increased nonetheless (Osteoporosis International, 2019). As the older adults possess a greater awareness of the risks of falls and fractures, they are willing to take up more preventive measures including lifestyle management and pharmacological treatment for osteoporosis (SG MOH CPG Osteoporosis and update 2008). We need to continue to engage them in active lifestyle post-hip fractures to strengthen, improve their balance and re-integrate them back to the community effectively. <br><br>This workshop aims to equip physiotherapists with the necessary knowledge and skills in rehabilitating older adults post hip fractures based on recent research updates and recommendations. <br><br>At the end of the course, participants should be able to:
<br>1) describe the impact and disability associated with hip fractures<br>2) understand the surgical management for older adults with hip fractures and its implications during rehabilitation<br>3) identify and select appropriate outcome measures to evaluate physical function and rehabilitation needs (as per MOH One-Rehab framework)<br>4) select evidence-based exercise interventions for older adults post-hip fractures",Paid,550.0,Face-to-Face,Tan Tock Seng Hospital,
43,Hip Fractures Rehabilitation and Management,Tan Tock Seng Hospital,orthopaedic surgery,hip fractures,0.4798990893361069,True,True,2023,8,18.0,2023,8,18.0,True,8:00am,5:00pm,"Hip fractures contribute to 1.75 million disability-adjusted life years (DALYs) lost on a worldwide scale (International Osteoporosis Foundation and National Osteoporosis Foundation 2004). The DALYs lost to falls in a Singapore disease burden study (2010) is reported to be 4674 (per 100,000). While the rate of hip fractures in Singapore had shown some decline in both men and women (-1.1 fractures/100,000/year & -4.3 fractures/100,000/year respectively) over a period of 18 years  from 2000-2017, the absolute numbers of admissions had increased nonetheless (Osteoporosis International, 2019). As the older adults possess a greater awareness of the risks of falls and fractures, they are willing to take up more preventive measures including lifestyle management and pharmacological treatment for osteoporosis (SG MOH CPG Osteoporosis and update 2008). We need to continue to engage them in active lifestyle post-hip fractures to strengthen, improve their balance and re-integrate them back to the community effectively. <br><br>This workshop aims to equip physiotherapists with the necessary knowledge and skills in rehabilitating older adults post hip fractures based on recent research updates and recommendations. <br><br>At the end of the course, participants should be able to:
<br>1) describe the impact and disability associated with hip fractures<br>2) understand the surgical management for older adults with hip fractures and its implications during rehabilitation<br>3) identify and select appropriate outcome measures to evaluate physical function and rehabilitation needs (as per MOH One-Rehab framework)<br>4) select evidence-based exercise interventions for older adults post-hip fractures",Paid,550.0,Face-to-Face,Tan Tock Seng Hospital,
44,Orientation and Mobility for Adults - An Introduction,Tan Tock Seng Hospital,paediatric surgery,adults,0.26982172315056585,True,True,2023,9,22.0,2023,9,29.0,False,,,"Orientation and Mobility (O&M) specialists instruct clients (mainly, but not limited to, clients with low vision and blindness) on how to move about their environments in a safe, efficient and graceful manner. OTs and PTs may encounter clients with visual impairments or blindness in the course of their work. Therapists in acute settings could start working with clients with low vision/blindness in basic orientation and mobility skills and concepts within the ward. This helps with discharge planning and determining if the client is likely to pick up sufficient O&M skills for independence. Therapists working in the community will also benefit from learning how to assess if their clients will benefit from O&M, identify when cane users might need to develop their skills, and how to best work with an O&M specialist.",Paid,890.0 (SAOT Member); 980.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
45,Orientation and Mobility for Adults - An Introduction,Tan Tock Seng Hospital,internal medicine,orientation,0.21077183976689845,True,True,2023,9,22.0,2023,9,29.0,False,,,"Orientation and Mobility (O&M) specialists instruct clients (mainly, but not limited to, clients with low vision and blindness) on how to move about their environments in a safe, efficient and graceful manner. OTs and PTs may encounter clients with visual impairments or blindness in the course of their work. Therapists in acute settings could start working with clients with low vision/blindness in basic orientation and mobility skills and concepts within the ward. This helps with discharge planning and determining if the client is likely to pick up sufficient O&M skills for independence. Therapists working in the community will also benefit from learning how to assess if their clients will benefit from O&M, identify when cane users might need to develop their skills, and how to best work with an O&M specialist.",Paid,890.0 (SAOT Member); 980.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
46,Orientation and Mobility for Adults - An Introduction,Tan Tock Seng Hospital,nuclear medicine,mobility,0.1848198294510466,True,True,2023,9,22.0,2023,9,29.0,False,,,"Orientation and Mobility (O&M) specialists instruct clients (mainly, but not limited to, clients with low vision and blindness) on how to move about their environments in a safe, efficient and graceful manner. OTs and PTs may encounter clients with visual impairments or blindness in the course of their work. Therapists in acute settings could start working with clients with low vision/blindness in basic orientation and mobility skills and concepts within the ward. This helps with discharge planning and determining if the client is likely to pick up sufficient O&M skills for independence. Therapists working in the community will also benefit from learning how to assess if their clients will benefit from O&M, identify when cane users might need to develop their skills, and how to best work with an O&M specialist.",Paid,890.0 (SAOT Member); 980.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
47,A Clinical Approach to the Assessment and Treatment of Repetitive Strain Injuries of the Hand and Wrist,Tan Tock Seng Hospital,hand surgery,hand,0.7851419008750874,True,True,2023,10,6.0,2023,10,6.0,False,,,Musculoskeletal conditions are one of the causes of the highest rehabilitation needs worldwide. They have been known to significantly affect an individual's quality of life and functional performance.  ,Free,0.0,Face-to-Face,Tan Tock Seng Hospital,
48,A Clinical Approach to the Assessment and Treatment of Repetitive Strain Injuries of the Hand and Wrist,Tan Tock Seng Hospital,diagnostic radiology,clinical approach,0.46834540574029404,True,True,2023,10,6.0,2023,10,6.0,False,,,Musculoskeletal conditions are one of the causes of the highest rehabilitation needs worldwide. They have been known to significantly affect an individual's quality of life and functional performance.  ,Free,0.0,Face-to-Face,Tan Tock Seng Hospital,
49,A Clinical Approach to the Assessment and Treatment of Repetitive Strain Injuries of the Hand and Wrist,Tan Tock Seng Hospital,diagnostic radiology,assessment,0.43375800137348847,True,True,2023,10,6.0,2023,10,6.0,False,,,Musculoskeletal conditions are one of the causes of the highest rehabilitation needs worldwide. They have been known to significantly affect an individual's quality of life and functional performance.  ,Free,0.0,Face-to-Face,Tan Tock Seng Hospital,
50,A Clinical Approach to the Assessment and Treatment of Repetitive Strain Injuries of the Hand and Wrist,Tan Tock Seng Hospital,hand surgery,treatment,0.37624707764179455,True,True,2023,10,6.0,2023,10,6.0,False,,,Musculoskeletal conditions are one of the causes of the highest rehabilitation needs worldwide. They have been known to significantly affect an individual's quality of life and functional performance.  ,Free,0.0,Face-to-Face,Tan Tock Seng Hospital,
51,A Clinical Approach to the Assessment and Treatment of Repetitive Strain Injuries of the Hand and Wrist,Tan Tock Seng Hospital,hand surgery,wrist,0.3715647877494562,True,True,2023,10,6.0,2023,10,6.0,False,,,Musculoskeletal conditions are one of the causes of the highest rehabilitation needs worldwide. They have been known to significantly affect an individual's quality of life and functional performance.  ,Free,0.0,Face-to-Face,Tan Tock Seng Hospital,
52,A Clinical Approach to the Assessment and Treatment of Repetitive Strain Injuries of the Hand and Wrist,Tan Tock Seng Hospital,orthopaedic surgery,repetitive strain injuries,0.2671716147106404,True,True,2023,10,6.0,2023,10,6.0,False,,,Musculoskeletal conditions are one of the causes of the highest rehabilitation needs worldwide. They have been known to significantly affect an individual's quality of life and functional performance.  ,Free,0.0,Face-to-Face,Tan Tock Seng Hospital,
